parameter,sum,sum,sum,mean,mean,mean,median,median,median
polarity,positive,negative,final,positive,negative,final,positive,negative,final
0,5362.496937862417,-2569.4079535614005,2793.0889843010145,45.833307161217235,-21.96075173984103,23.87255542137619,10.517554846184998,-7.1610633101213,4.1113009267389
1,128955.91676202702,-55702.45835718534,73253.45840484163,355.2504593995233,-153.45029850464297,201.8001608948803,139.85207708818302,-68.77724710231654,61.744032837229256
2,83863.23642486677,-38200.19042361948,45663.046001247276,127.84029942815057,-58.23199759698092,69.60830183116965,20.909921509760487,-14.186255215361049,5.539186893207409
3,8843.013989819172,-4484.9390244848055,4358.0749653343655,62.27474640717728,-31.584077637216964,30.690668769960325,17.24394628588705,-12.635407305677738,5.923575728563451
4,37372.00291608997,-13715.977622217173,23656.025293872826,223.78444859934132,-82.13160252824657,141.65284607109476,33.89487765557286,-27.421287945198088,10.663375716910522
5,36179.63303326547,-17837.966774907785,18341.66625835772,99.39459624523488,-49.00540322776865,50.38919301746624,22.309033616621328,-17.077796412488226,4.40077203223715
6,15653.020442882378,-5465.004420003306,10188.01602287908,112.61165786246318,-39.31657856117488,73.2950793012883,18.234120233925896,-11.01101219550112,6.392388139397399
7,146261.42973823755,-57022.691817836,89238.73792040108,63.15260351391928,-24.621196812537146,38.53140670138214,8.369990475840526,-6.1576595174910995,2.777314764595045
8,58119.49125570951,-26152.47184568897,31967.019410020566,106.83730010240718,-48.07439677516358,58.76290332724361,46.729349468229444,-24.018314056174898,21.45107037345496
9,101226.51461963383,-42992.01946984748,58234.49514978633,250.56067975156878,-106.41588977685024,144.14478997471858,99.37692622798272,-51.24543060095297,43.66789140247571
10,10433.424096654373,-6191.000892473203,4242.423204181168,44.397549347465436,-26.344684648822163,18.05286469864327,15.142855163515101,-10.332791725372001,2.9362887808634555
11,59876.01829830109,-24453.83897214647,35422.179326154604,181.4424796918214,-74.10254233983777,107.33993735198361,39.2583804235211,-25.50716385480446,12.885048743211055
12,43916.56386699544,-15605.583620648124,28310.980246347288,335.2409455495833,-119.12659252403145,216.1143530255518,69.56749342749988,-34.9140103748837,37.18661565268294
13,2315.520856466525,-1197.2154183172545,1118.3054381492707,38.5920142744421,-19.95359030528757,18.638423969154523,7.366338464046999,-7.151008397057449,0.6492232916167495
14,150610.27264200227,-52417.71762958706,98192.55501241531,756.8355409145847,-263.40561622908075,493.4299246855039,352.7293264177959,-144.30327167481414,212.7346390457135
15,7233.4816788706,-3608.132493868468,3625.349185002131,95.17739051145527,-47.47542755090092,47.70196296055436,26.123851436547486,-18.98103282446,3.7565062582435016
16,823.2944855112523,-391.80750066446427,431.4869848467882,45.73858252840291,-21.767083370248017,23.9714991581549,4.4599205356815,-5.49837761057865,1.0018055935639003
17,9525.15396796097,-6065.86390528626,3459.2900626747073,105.8350440884552,-67.39848783651401,38.4365562519412,31.020237342165544,-27.3258630270809,-1.161394558045525
